Type.hybrid.1,MMI.hybrid,Replicate,SampleDate,StationID
NA,0.922009452,1,9.15.10,111SF1944
NA,1.100598674,1,10.3.10,111SF2538
NA,0.999190019,1,7.15.10,111SF2538
NA,0.859553102,1,8.24.10,111SF2538
NA,0.934455531,1,8.3.10,111SF2538
NA,0.89691712,1,9.15.10,111SF2538
Reference,0.945472509,1,7.24.12,111TGCAER
Reference,0.987513299,1,8.17.10,111TGCAER
Reference,1.060206717,1,6.12.13,111WE0816
Reference,1.000443057,1,6.12.13,111WE1050
Reference,1.075621794,1,7.26.12,111WE1071
Reference,0.843773178,1,6.10.14,111WER003
Reference,0.967260424,1,7.23.12,111WER008
Reference,0.994003065,1,10.19.09,111WER159
Reference,1.06561511,1,5.21.09,111WER159
Reference,0.902463146,1,6.24.09,111WER159
Reference,0.990440687,1,8.3.09,111WER159
Reference,0.940266676,1,9.16.09,111WER159
Intermediate,1.007832396,1,7.12.11,112PS0157
Stressed,0.615975419,1,6.8.09,113GAR010
Stressed,0.811871034,1,8.27.12,113GAR010
Intermediate,1.105482228,1,8.22.11,113GAR011
Intermediate,0.950338317,1,9.1.10,113GAR011
Intermediate,0.83512891,1,8.23.11,113GAR015
Intermediate,0.900534263,1,8.31.10,113GAR015
Intermediate,1.056743713,1,9.9.13,113GAR015
Intermediate,0.865737523,1,7.22.14,113GAR023
Intermediate,1.152796241,1,8.5.13,113GAR023
Intermediate,1.06066548,1,8.26.09,113GAR030
Intermediate,1.068500033,2,8.26.09,113GAR030
Intermediate,1.077513122,1,8.28.12,113GAR030
Stressed,0.881741965,1,6.8.09,113GAR038
Stressed,0.960068344,1,9.10.12,113GAR038
Intermediate,1.00914887,1,9.10.13,113GAR042
Stressed,1.201589659,1,6.18.12,113GAR046
Stressed,1.022598356,1,6.8.09,113GAR046
Stressed,1.006070827,1,9.2.14,113GAR046
Stressed,1.029715021,1,6.19.12,113GAR061
Stressed,0.936789499,1,7.1.09,113GAR061
Stressed,1.01808471,1,9.3.14,113GAR061
Stressed,0.956562556,2,9.3.14,113GAR061
Intermediate,1.279963723,1,6.30.09,113GAR062
Intermediate,0.984981171,1,8.27.12,113GAR062
Stressed,1.159409359,1,6.28.10,113GAR084
Intermediate,1.128212443,1,6.29.10,113GAR087
Intermediate,1.04178693,1,8.6.13,113GAR087
Intermediate,1.018012683,1,9.11.12,113GAR087
Intermediate,0.977249206,2,9.11.12,113GAR087
Intermediate,0.906101025,1,6.14.10,113GAR089
Intermediate,0.963787937,1,6.20.11,113GAR089
Intermediate,0.936142575,1,8.5.09,113GAR089
Stressed,1.242787648,1,7.27.10,113GAR094
Stressed,1.179346069,2,7.27.10,113GAR094
Intermediate,1.115259513,1,6.14.10,113GAR105
Intermediate,1.230190603,1,6.20.11,113GAR105
Intermediate,0.850246429,1,8.4.09,113GAR105
Stressed,0.887423751,1,6.18.12,113GAR110
Stressed,0.943968954,1,6.30.09,113GAR110
Stressed,0.922008144,1,9.2.14,113GAR110
Intermediate,1.083010771,1,6.15.10,113GAR112
Intermediate,0.833627707,1,7.22.14,113GAR112
Intermediate,1.081485371,1,8.22.11,113GAR112
Intermediate,0.919931426,1,8.4.09,113GAR112
Intermediate,0.936485131,2,8.4.09,113GAR112
Intermediate,1.040864184,1,8.7.13,113GAR112
Intermediate,0.830608168,1,7.26.10,113GAR118
Intermediate,0.880739486,1,9.10.12,113GAR118
Intermediate,1.024753157,1,6.21.11,113GAR178
Intermediate,0.946982798,1,7.23.14,113GAR178
Intermediate,1.049379028,1,8.31.10,113GAR178
Intermediate,0.880269728,1,9.9.13,113GAR178
Intermediate,0.933749509,2,9.9.13,113GAR178
Intermediate,0.88724061,1,6.28.10,113GAR244
Intermediate,1.035342763,1,9.9.08,113PS0012
Intermediate,0.920799326,2,9.9.08,113PS0012
Intermediate,1.183069037,1,8.2.12,113PS0076
Intermediate,1.106125011,1,8.22.12,113PS0076
Stressed,1.014102772,1,8.18.09,113PS0084
Stressed,1.087032361,1,8.25.09,113PS0100
Intermediate,1.052285491,1,9.14.10,113PS0120
Stressed,0.989950406,1,9.15.10,113PS0132
Intermediate,1.146925999,1,7.6.11,113PS0168
Stressed,1.137439938,1,8.1.12,113PS0196
Intermediate,0.962992704,1,9.3.13,113PS0216
Intermediate,1.089730383,1,9.4.13,113PS0232
Intermediate,1.071614717,2,9.4.13,113PS0232
Intermediate,1.087892778,1,6.11.14,113PS0268
Reference,0.986252756,1,8.19.10,113RG8046
Reference,0.959534865,2,8.19.10,113RG8046
Intermediate,1.21512241,1,6.21.10,114AU7778
Reference,1.174650446,1,7.31.12,114CE0131
Stressed,1.053030729,1,8.26.13,114CR0903
Stressed,1.084232503,1,9.25.13,114CR0903
Intermediate,0.906745836,1,8.1.13,114FCA199
Intermediate,0.821841803,1,7.5.11,114GV3469
Intermediate,0.72185642,1,7.6.11,114GV5331
Intermediate,0.905658241,1,7.6.10,114MA2364
Intermediate,1.036511574,1,6.24.08,114MRCURX
NA,1.12983969,1,6.23.09,114MW8747
Intermediate,1.295927516,1,8.19.09,114PS0088
Reference,1.194904582,1,6.20.11,114PS0145
Stressed,0.942466284,1,7.10.12,114PS0149
Stressed,0.583377307,1,7.7.11,114PS0152
Stressed,0.704270154,1,8.18.11,114PS0152
Intermediate,1.105862309,1,6.10.13,114PS0209
Intermediate,0.855008336,1,6.4.13,114PS0229
Stressed,1.087221263,1,10.10.11,114RR1041
Stressed,1.102392835,1,10.25.11,114RR1041
Stressed,1.030001498,2,10.25.11,114RR1041
Stressed,1.104792619,1,8.2.11,114RR1041
Stressed,1.143741613,1,9.7.11,114RR1041
Stressed,0.828561623,1,6.2.11,114RR1310
Stressed,1.076073154,1,10.10.11,114RR1599
Stressed,1.121509025,1,10.25.11,114RR1599
Stressed,0.805799857,1,6.2.11,114RR1599
Stressed,0.787936751,1,6.27.11,114RR1599
Stressed,1.055539658,1,8.2.11,114RR1599
Stressed,0.953688056,2,8.2.11,114RR1599
Stressed,1.09693718,1,9.7.11,114RR1599
Stressed,1.060302747,1,10.11.11,114RR2678
Stressed,1.070407056,1,10.24.11,114RR2678
Stressed,1.011134918,1,6.29.11,114RR2678
Stressed,1.046490376,1,8.1.11,114RR2678
Stressed,1.020856622,1,9.13.11,114RR2678
Stressed,0.931876781,1,6.1.11,114RR2769
Stressed,1.055504985,1,10.11.11,114RR2899
Stressed,1.002369147,1,10.24.11,114RR2899
Stressed,0.585286422,1,6.1.11,114RR2899
Stressed,0.968165804,1,6.29.11,114RR2899
Stressed,1.051977822,1,8.1.11,114RR2899
Stressed,1.0481155,1,9.13.11,114RR2899
Reference,1.024102537,1,7.9.12,114WE0614
Reference,0.980150972,2,7.9.12,114WE0614
Intermediate,1.100397884,1,8.20.08,114WER118
Reference,0.89133502,1,7.1.10,115EBAG01
Intermediate,0.907966604,1,6.30.10,115SALG01
Intermediate,0.876158633,1,7.7.11,115SC6093
Intermediate,0.837684471,2,7.7.11,115SC6093
Reference,0.904543665,1,6.20.12,201AHO350
Reference,0.949724025,1,6.18.12,201CHE300
NA,0.916274383,1,6.5.14,201DW0079
NA,0.79939053,1,5.13.14,201DW0143
NA,0.609006641,1,5.13.14,201DW0207
NA,0.882536466,1,6.23.14,201DW0271
Intermediate,0.859145963,1,10.6.08,201LAG190
Reference,0.88079294,1,7.15.09,201LAG335
Intermediate,0.876442582,1,7.14.09,201LAG380
Reference,1.029876705,1,9.13.10,201MRS020
Intermediate,1.037159922,1,4.29.09,201RDW080
Intermediate,0.786677904,1,5.7.08,201RDW080
Intermediate,0.921310676,1,6.2.10,201RDW080
